	H1_1	H1_2	H1_3	H1_4	H1_5	H1_6	H2_1	H2_2	H2_3	H2_4	H2_5	H2_6	H3_1	H3_2	H3_3	H3_4	H3_5	H3_6	BS1	BS2	BS3
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__Blastocatellales;f__Blastocatellaceae;g__Stenotrophobacter;s__uncultured_bacterium	6	0	0	0	12	7	0	0	3	11	12	0	5	15	0	6	0	14	6	0	0
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__Blastocatellales;f__Blastocatellaceae;g__unclassified_Blastocatellaceae;s__unclassified_Blastocatellaceae	45	47	12	30	12	87	19	40	41	46	38	65	47	0	68	28	37	17	27	62	72
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__Blastocatellales;f__Blastocatellaceae;g__uncultured;s__unclassified_uncultured	16	8	10	4	4	3	24	10	4	12	10	0	4	0	6	9	10	21	5	14	13
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__Blastocatellales;f__Blastocatellaceae;g__uncultured;s__uncultured_Acidobacteria	74	22	42	44	50	41	21	38	39	42	37	149	18	21	37	65	45	28	32	63	34
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__DS-100;f__DS-100;g__DS-100;s__unclassified_DS-100	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__DS-100;f__DS-100;g__DS-100;s__uncultured_Acidobacteria	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__DS-100;f__DS-100;g__DS-100;s__uncultured_bacterium	0	3	0	0	0	11	0	0	0	2	0	3	6	0	0	0	0	0	0	0	10
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__Elev-16S-573;f__Elev-16S-573;g__Elev-16S-573;s__uncultured_bacterium	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__Pyrinomonadales;f__Pyrinomonadaceae;g__RB41;s__Acidobacterium_sp.	30	21	0	0	23	51	0	15	14	36	7	16	20	0	20	23	0	7	8	42	36
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__Pyrinomonadales;f__Pyrinomonadaceae;g__RB41;s__metagenome	0	0	6	0	15	10	0	0	0	0	0	0	0	0	20	0	11	0	0	10	21
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__Pyrinomonadales;f__Pyrinomonadaceae;g__RB41;s__unclassified_RB41	662	872	651	703	744	992	571	688	689	861	958	862	572	388	885	981	795	536	1133	996	865
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__Pyrinomonadales;f__Pyrinomonadaceae;g__RB41;s__uncultivated_soil	3	11	13	0	3	67	0	4	0	13	11	7	0	0	18	1	0	37	11	16	25
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__Pyrinomonadales;f__Pyrinomonadaceae;g__RB41;s__uncultured_Acidobacteriaceae	84	73	33	39	53	65	54	72	42	101	37	58	42	5	55	111	84	76	35	161	111
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__Pyrinomonadales;f__Pyrinomonadaceae;g__RB41;s__uncultured_Acidobacterium	19	63	0	4	0	19	0	0	0	0	0	0	0	0	0	5	9	12	0	14	0
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__Pyrinomonadales;f__Pyrinomonadaceae;g__RB41;s__uncultured_bacterium	125	135	63	75	130	193	39	111	132	105	29	105	87	24	90	65	198	89	73	88	303
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__Pyrinomonadales;f__Pyrinomonadaceae;g__RB41;s__uncultured_soil	0	2	1	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	2	0	0
d__Bacteria;p__Acidobacteria;c__Blastocatellia_(Subgroup_4);o__unclassified_Blastocatellia_(Subgroup_4);f__unclassified_Blastocatellia_(Subgroup_4);g__unclassified_Blastocatellia_(Subgroup_4);s__unclassified_Blastocatellia_(Subgroup_4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
d__Bacteria;p__Acidobacteria;c__Holophagae;o__Subgroup_7;f__Subgroup_7;g__Subgroup_7;s__metagenome	17	18	26	0	25	35	14	26	0	8	18	9	0	24	11	0	0	29	17	31	31
d__Bacteria;p__Acidobacteria;c__Holophagae;o__Subgroup_7;f__Subgroup_7;g__Subgroup_7;s__unclassified_Subgroup_7	46	55	30	49	63	113	59	29	34	43	32	56	51	8	44	60	57	52	55	67	129
d__Bacteria;p__Acidobacteria;c__Holophagae;o__Subgroup_7;f__Subgroup_7;g__Subgroup_7;s__uncultured_Acidobacteria	20	16	6	0	0	1	9	27	18	0	11	28	6	0	0	6	0	6	2	5	0
d__Bacteria;p__Acidobacteria;c__Holophagae;o__Subgroup_7;f__Subgroup_7;g__Subgroup_7;s__uncultured_Acidobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Holophagae;o__Subgroup_7;f__Subgroup_7;g__Subgroup_7;s__uncultured_Acidobacterium	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Holophagae;o__Subgroup_7;f__Subgroup_7;g__Subgroup_7;s__uncultured_bacterium	28	8	4	34	15	7	5	14	15	22	0	18	21	0	18	31	34	12	9	15	14
d__Bacteria;p__Acidobacteria;c__Holophagae;o__Subgroup_7;f__Subgroup_7;g__Subgroup_7;s__uncultured_Desulfuromonadales	15	0	0	0	0	0	8	7	6	0	0	6	0	0	7	14	0	0	0	0	15
