	taxonomy
ASV_80	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Subgroup_6; f__Subgroup_6; g__Subgroup_6; s__unclassified_Subgroup_6
ASV_81	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__Blastocatellales; f__Blastocatellaceae; g__JGI_0001001-H03; s__unclassified_JGI_0001001-H03
ASV_82	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41; s__unclassified_RB41
ASV_83	d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__IMCC26256; f__IMCC26256; g__IMCC26256; s__unclassified_IMCC26256
ASV_84	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41; s__unclassified_RB41
ASV_85	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__A4b; g__A4b; s__uncultured_bacterium
ASV_86	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MBNT15; f__MBNT15; g__MBNT15; s__uncultured_Myxococcales
ASV_87	d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Actinomarinales; f__uncultured; g__uncultured; s__unclassified_uncultured
ASV_88	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium; s__unclassified_Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
ASV_89	d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__IMCC26256; f__IMCC26256; g__IMCC26256; s__uncultured_bacterium
ASV_90	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Subgroup_6; f__Subgroup_6; g__Subgroup_6; s__unclassified_Subgroup_6
ASV_91	d__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__Nitrospiraceae; g__Nitrospira; s__uncultured_soil
ASV_92	d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__uncultured_Gemmatimonadales
ASV_93	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__Blastocatellales; f__Blastocatellaceae; g__Aridibacter; s__uncultured_Acidobacteria
ASV_94	d__Bacteria; p__Chloroflexi; c__KD4-96; o__KD4-96; f__KD4-96; g__KD4-96; s__unclassified_KD4-96
ASV_95	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41; s__unclassified_RB41
ASV_96	d__Bacteria; p__Chloroflexi; c__Gitt-GS-136; o__Gitt-GS-136; f__Gitt-GS-136; g__Gitt-GS-136; s__uncultured_bacterium
ASV_97	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__uncultured; f__uncultured; g__uncultured; s__uncultured_bacterium
ASV_98	d__Bacteria; p__Rokubacteria; c__NC10; o__Rokubacteriales; f__Rokubacteriales; g__Rokubacteriales; s__uncultured_bacterium
ASV_99	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Steroidobacteraceae; g__Steroidobacter; s__unclassified_Steroidobacter
ASV_100	d__Bacteria; p__Acidobacteria; c__Subgroup_6; o__Subgroup_6; f__Subgroup_6; g__Subgroup_6; s__unclassified_Subgroup_6
ASV_101	d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__uncultured_Gemmatimonadales
ASV_102	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__Sphingomonas_jaspsi
ASV_103	d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Microtrichales; f__Iamiaceae; g__Iamia; s__unclassified_Iamia
ASV_104	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Hyphomonadaceae; g__SWB02; s__uncultured_bacterium
ASV_105	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Ellin6055; s__unclassified_Ellin6055
ASV_106	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Pelomonas; s__unclassified_Pelomonas
ASV_107	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Variovorax; s__unclassified_Variovorax
ASV_108	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41; s__unclassified_RB41
ASV_109	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiales_Incertae_Sedis; g__Nordella; s__Nordella_oligomobilis
ASV_110	d__Bacteria; p__Rokubacteria; c__NC10; o__Rokubacteriales; f__Rokubacteriales; g__Rokubacteriales; s__uncultured_bacterium
ASV_111	d__Bacteria; p__Chloroflexi; c__KD4-96; o__KD4-96; f__KD4-96; g__KD4-96; s__uncultured_Chloroflexi
ASV_112	d__Bacteria; p__Rokubacteria; c__NC10; o__Rokubacteriales; f__Rokubacteriales; g__Rokubacteriales; s__uncultured_bacterium
ASV_113	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Azospirillales; f__uncultured; g__uncultured; s__uncultured_bacterium
ASV_114	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Nitrosomonadaceae; g__MND1; s__unclassified_MND1
ASV_115	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Ralstonia; s__unclassified_Ralstonia
ASV_116	d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Microtrichales; f__Iamiaceae; g__Iamia; s__unclassified_Iamia
ASV_117	d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Microtrichales; f__Iamiaceae; g__Iamia; s__unclassified_Iamia
ASV_118	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41; s__uncultured_Acidobacteriaceae
ASV_119	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__uncultured; s__unclassified_uncultured
ASV_120	d__Bacteria; p__Actinobacteria; c__MB-A2-108; o__MB-A2-108; f__MB-A2-108; g__MB-A2-108; s__uncultured_actinobacterium
ASV_121	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__PLTA13; f__PLTA13; g__PLTA13; s__unclassified_PLTA13
ASV_122	d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Microtrichales; f__Ilumatobacteraceae; g__uncultured; s__unclassified_uncultured
ASV_123	d__Bacteria; p__Latescibacteria; c__Latescibacteria; o__Latescibacteria; f__Latescibacteria; g__Latescibacteria; s__uncultured_Latescibacteria
ASV_124	d__Bacteria; p__Chloroflexi; c__KD4-96; o__KD4-96; f__KD4-96; g__KD4-96; s__unclassified_KD4-96
ASV_125	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Phyllobacterium; s__unclassified_Phyllobacterium
ASV_126	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Phenylobacterium; s__unclassified_Phenylobacterium
ASV_127	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Thalassobaculales; f__uncultured; g__uncultured; s__unclassified_uncultured
ASV_128	d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces; s__unclassified_Streptomyces
ASV_129	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured; s__unclassified_uncultured
ASV_130	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Nitrosomonadaceae; g__MND1; s__unclassified_MND1
ASV_131	d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides; s__unclassified_Nocardioides
ASV_132	d__Bacteria; p__Chloroflexi; c__KD4-96; o__KD4-96; f__KD4-96; g__KD4-96; s__unclassified_KD4-96
ASV_133	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__SC-I-84; g__SC-I-84; s__unclassified_SC-I-84
ASV_134	d__Bacteria; p__Acidobacteria; c__Blastocatellia_(Subgroup_4); o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41; s__unclassified_RB41
ASV_135	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__unclassified_Sphingomonadaceae; s__unclassified_Sphingomonadaceae
ASV_136	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Nitrosomonadaceae; g__MND1; s__unclassified_MND1
ASV_137	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Reyranellales; f__Reyranellaceae; g__Reyranella; s__unclassified_Reyranella
ASV_138	d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__unclassified_Nocardioidaceae; s__unclassified_Nocardioidaceae
ASV_139	d__Bacteria; p__Chloroflexi; c__Gitt-GS-136; o__Gitt-GS-136; f__Gitt-GS-136; g__Gitt-GS-136; s__unclassified_Gitt-GS-136
ASV_140	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__unclassified_Sphingomonadaceae; s__unclassified_Sphingomonadaceae
ASV_141	d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__IMCC26256; f__IMCC26256; g__IMCC26256; s__uncultured_bacterium
ASV_142	d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__uncultured_Gemmatimonas
ASV_143	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Nitrosomonadaceae; g__MND1; s__unclassified_MND1
ASV_144	d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__uncultured_Gemmatimonadetes
