	H1_1	H1_2	H1_3	H1_4	H1_5	H1_6	H2_1	H2_2	H2_3	H2_4	H2_5	H2_6	H3_1	H3_2	H3_3	H3_4	H3_5	H3_6	BS1	BS2	BS3
ASV_198	13	10	11	9	15	13	8	17	16	10	14	0	20	0	38	0	0	14	19	0	8
ASV_199	13	17	0	0	10	26	0	13	0	0	0	15	15	0	19	20	0	0	0	25	32
ASV_200	12	0	29	0	32	0	9	22	20	26	23	21	12	11	16	9	0	0	11	0	0
ASV_201	14	0	16	17	19	8	17	13	23	0	0	11	0	24	19	0	0	0	20	25	0
ASV_202	0	26	0	26	26	11	16	20	0	0	0	0	16	0	0	0	0	29	0	0	0
ASV_203	26	15	23	15	0	14	17	10	41	10	22	11	15	0	17	0	16	0	9	0	0
ASV_204	30	10	24	0	18	0	24	22	13	0	0	0	0	0	14	41	0	16	13	0	0
ASV_205	12	0	18	0	35	0	0	24	31	0	15	21	0	58	28	0	0	25	23	0	0
ASV_206	8	7	5	14	0	5	4	9	11	13	10	6	9	4	15	11	14	13	24	6	9
ASV_207	16	0	17	0	13	19	0	24	0	14	0	20	0	0	23	0	15	0	18	16	27
ASV_208	11	11	8	12	18	10	15	7	27	0	13	9	16	11	0	12	13	20	0	18	18
ASV_209	8	15	7	13	15	10	9	15	14	15	12	5	18	7	8	9	10	5	3	9	4
ASV_210	18	14	0	15	0	12	31	14	9	0	0	0	0	0	22	19	0	0	22	23	35
ASV_211	14	0	11	13	11	9	11	8	21	0	8	23	11	3	24	0	8	19	11	15	0
ASV_212	0	0	15	0	20	23	0	0	0	0	0	17	0	15	0	35	0	0	17	38	32
ASV_213	9	0	16	0	0	13	10	0	17	7	16	22	10	0	12	0	21	0	25	18	10
ASV_214	29	0	8	12	56	19	16	13	17	0	22	0	0	5	0	7	0	0	0	0	0
ASV_215	14	8	16	44	0	0	12	13	19	14	5	15	11	0	25	30	37	12	9	0	0
ASV_216	16	9	0	9	15	5	21	21	0	24	24	17	14	12	14	0	0	10	0	0	0
ASV_217	16	0	14	0	22	8	20	14	4	20	20	18	12	27	17	12	0	24	18	18	0
ASV_218	7	4	4	14	11	9	53	0	0	0	0	18	3	0	18	27	21	0	18	17	13
ASV_219	0	8	0	0	0	133	0	0	6	29	22	8	0	0	0	0	0	0	0	23	29
ASV_220	0	0	25	0	34	16	54	15	10	0	15	0	0	26	0	0	0	21	0	44	0
ASV_221	15	12	0	0	20	32	8	0	11	0	8	8	0	0	0	13	0	26	7	27	24
ASV_222	10	0	3	0	0	19	19	14	12	16	0	16	11	0	0	0	23	0	25	18	26
ASV_223	9	9	6	7	13	5	9	16	10	13	16	20	8	0	10	9	13	14	6	8	5
ASV_224	0	27	0	0	16	15	28	20	14	0	15	0	20	0	0	28	23	0	0	0	0
ASV_225	8	0	9	0	14	23	33	0	16	12	11	7	12	27	12	9	0	18	19	19	14
ASV_226	13	0	0	0	0	13	14	0	14	16	14	22	18	0	23	14	12	0	14	13	11
ASV_227	0	12	0	15	29	16	15	5	37	0	0	0	12	0	0	0	0	13	22	0	0
ASV_228	0	0	10	9	28	9	11	24	14	17	10	13	8	11	14	0	4	0	0	0	15
ASV_229	0	7	7	11	7	11	0	13	10	10	7	7	14	15	9	12	0	0	6	0	8
ASV_230	19	0	17	0	0	0	20	8	0	19	13	11	23	51	0	0	0	13	8	0	0
ASV_231	10	0	11	17	0	0	5	9	21	14	6	12	22	0	9	15	22	0	8	0	0
ASV_232	7	7	25	10	5	8	8	7	6	20	4	9	11	0	9	15	7	11	10	16	0
ASV_233	0	0	0	0	37	0	29	0	0	33	16	20	0	36	0	0	0	0	23	0	0
ASV_234	29	0	0	20	0	0	13	20	0	14	0	0	0	0	0	24	0	0	14	0	15
ASV_235	8	6	12	5	15	14	29	33	0	8	10	8	0	0	27	14	14	15	11	0	0
ASV_236	5	7	34	24	0	7	0	10	11	12	13	11	10	15	20	9	17	0	13	0	0
ASV_237	14	20	19	47	0	0	12	19	21	0	0	13	25	0	0	0	13	0	0	27	0
ASV_238	21	12	0	0	19	0	0	16	20	0	25	0	0	42	18	0	0	30	14	0	0
ASV_239	10	8	6	12	0	12	0	8	16	13	20	23	11	0	13	14	13	5	9	0	0
ASV_240	11	17	14	8	7	16	11	16	0	8	9	16	7	5	9	21	14	16	0	24	14
ASV_241	0	0	19	0	0	0	0	21	0	0	22	0	0	152	0	0	0	23	12	0	0
ASV_242	34	17	0	0	0	0	21	31	0	19	0	0	0	0	0	32	16	20	0	0	49
ASV_243	11	7	17	0	0	0	0	24	0	19	23	0	20	15	0	24	0	22	0	0	15
ASV_244	13	13	3	8	8	6	3	11	2	9	8	8	7	3	4	11	8	4	11	16	32
ASV_245	38	15	6	15	15	0	12	0	16	14	6	12	16	0	0	30	21	0	0	0	23
ASV_246	11	11	12	14	14	0	0	0	20	0	0	0	28	0	0	0	50	8	0	0	0
ASV_247	8	6	12	8	6	19	16	0	15	11	7	13	3	4	10	6	0	13	6	7	17
